DateTime,TWS Anomaly,Trend
1/1/02 0:00,,-130.0
2/1/02 0:00,,-128.72689938398358
3/1/02 0:00,,-127.57700205338807
4/1/02 0:00,-90.6744,-126.30390143737165
5/1/02 0:00,-195.3536,-125.07186858316223
6/1/02 0:00,,-123.7987679671458
7/1/02 0:00,,-122.56673511293633
8/1/02 0:00,-237.0719,-121.2936344969199
9/1/02 0:00,-246.4518,-120.02053388090349
10/1/02 0:00,-142.1798,-118.78850102669404
11/1/02 0:00,-87.2687,-117.51540041067761
12/1/02 0:00,-30.0328,-116.28336755646816
1/1/03 0:00,-20.5227,-115.01026694045174
2/1/03 0:00,-22.7683,-113.73716632443532
3/1/03 0:00,27.7141,-112.58726899383983
4/1/03 0:00,-62.0237,-111.3141683778234
5/1/03 0:00,-171.7224,-110.08213552361394
6/1/03 0:00,,-108.80903490759752
7/1/03 0:00,-73.3836,-107.5770020533881
8/1/03 0:00,-101.2513,-106.30390143737165
9/1/03 0:00,-28.7669,-105.03080082135523
10/1/03 0:00,-64.5935,-103.79876796714578
11/1/03 0:00,-113.096,-102.52566735112936
12/1/03 0:00,-61.5569,-101.29363449691992
1/1/04 0:00,-64.7076,-100.02053388090349
2/1/04 0:00,-17.0377,-98.74743326488705
3/1/04 0:00,7.58,-97.55646817248459
4/1/04 0:00,-57.4229,-96.28336755646816
5/1/04 0:00,-29.274,-95.05133470225873
6/1/04 0:00,58.0634,-93.77823408624229
7/1/04 0:00,38.1538,-92.54620123203286
8/1/04 0:00,-55.6749,-91.27310061601642
9/1/04 0:00,-60.9356,-90.0
10/1/04 0:00,-17.253,-88.76796714579055
11/1/04 0:00,15.5551,-87.49486652977413
12/1/04 0:00,16.124,-86.26283367556468
1/1/05 0:00,73.897,-84.98973305954824
2/1/05 0:00,159.2788,-83.71663244353181
3/1/05 0:00,43.7314,-82.56673511293634
4/1/05 0:00,61.7925,-81.29363449691992
5/1/05 0:00,-66.8281,-80.06160164271046
6/1/05 0:00,-82.9937,-78.78850102669404
7/1/05 0:00,-28.6333,-77.5564681724846
8/1/05 0:00,2.2886,-76.28336755646816
9/1/05 0:00,-29.7427,-75.01026694045173
10/1/05 0:00,-121.2017,-73.7782340862423
11/1/05 0:00,-166.3843,-72.50513347022587
12/1/05 0:00,-135.8379,-71.27310061601642
1/1/06 0:00,-144.207,-70.0
2/1/06 0:00,-74.1943,-68.72689938398356
3/1/06 0:00,-89.3984,-67.57700205338809
4/1/06 0:00,-124.7305,-66.30390143737166
5/1/06 0:00,-150.9214,-65.0718685831622
6/1/06 0:00,-243.4434,-63.79876796714578
7/1/06 0:00,-222.9375,-62.56673511293634
8/1/06 0:00,-191.6499,-61.29363449691991
9/1/06 0:00,-167.0366,-60.020533880903486
10/1/06 0:00,-164.3716,-58.78850102669405
11/1/06 0:00,-100.54,-57.515400410677614
12/1/06 0:00,-124.8691,-56.28336755646817
1/1/07 0:00,-1.4346,-55.01026694045175
2/1/07 0:00,-16.732,-53.737166324435314
3/1/07 0:00,-67.1436,-52.587268993839835
4/1/07 0:00,-46.6505,-51.314168377823414
5/1/07 0:00,-43.8062,-50.08213552361397
6/1/07 0:00,-91.8096,-48.80903490759754
7/1/07 0:00,-16.2242,-47.577002053388085
8/1/07 0:00,4.9174,-46.303901437371664
9/1/07 0:00,-49.1622,-45.030800821355236
10/1/07 0:00,-108.3795,-43.79876796714579
11/1/07 0:00,-140.9991,-42.525667351129364
12/1/07 0:00,-77.8536,-41.29363449691992
1/1/08 0:00,-27.1924,-40.0205338809035
2/1/08 0:00,-54.6137,-38.74743326488706
3/1/08 0:00,-41.6098,-37.5564681724846
4/1/08 0:00,34.3184,-36.28336755646817
5/1/08 0:00,-23.6245,-35.05133470225873
6/1/08 0:00,-142.4521,-33.77823408624231
7/1/08 0:00,-130.1728,-32.546201232032864
8/1/08 0:00,-110.1489,-31.273100616016436
9/1/08 0:00,19.7505,-30.0
10/1/08 0:00,-74.5786,-28.767967145790557
11/1/08 0:00,-84.9658,-27.49486652977413
12/1/08 0:00,-26.8178,-26.262833675564686
1/1/09 0:00,-22.0543,-24.989733059548257
2/1/09 0:00,-57.8947,-23.716632443531836
3/1/09 0:00,12.3265,-22.56673511293635
4/1/09 0:00,21.6048,-21.293634496919914
5/1/09 0:00,24.641,-20.06160164271047
6/1/09 0:00,-15.9894,-18.788501026694043
7/1/09 0:00,-85.9147,-17.5564681724846
8/1/09 0:00,-49.8473,-16.28336755646818
9/1/09 0:00,8.8226,-15.01026694045175
10/1/09 0:00,51.7953,-13.778234086242293
11/1/09 0:00,153.6737,-12.505133470225871
12/1/09 0:00,194.4798,-11.273100616016428
1/1/10 0:00,143.2537,-10.0
2/1/10 0:00,240.3763,-8.726899383983577
3/1/10 0:00,162.9105,-7.57700205338808
4/1/10 0:00,103.0726,-6.303901437371655
5/1/10 0:00,97.1478,-5.071868583162226
6/1/10 0:00,60.3543,-3.7987679671457997
7/1/10 0:00,73.4959,-2.5667351129363425
8/1/10 0:00,30.0867,-1.2936344969199176
9/1/10 0:00,-24.0832,-0.02053388090349273
10/1/10 0:00,-69.8625,1.2114989733059645
11/1/10 0:00,-46.7262,2.4845995893223893
12/1/10 0:00,-97.5407,3.71663244353182
1/1/11 0:00,,4.989733059548245
2/1/11 0:00,-32.5566,6.26283367556467
3/1/11 0:00,9.8853,7.412731006160165
4/1/11 0:00,-90.4395,8.68583162217659
5/1/11 0:00,-180.147,9.917864476386047
6/1/11 0:00,,11.190965092402472
7/1/11 0:00,-80.3525,12.422997946611902
8/1/11 0:00,-117.8242,13.696098562628327
9/1/11 0:00,-103.0586,14.969199178644752
10/1/11 0:00,-176.3633,16.201232032854207
11/1/11 0:00,-188.229,17.474332648870636
12/1/11 0:00,-39.7393,18.706365503080093
1/1/12 0:00,-114.5953,19.979466119096514
2/1/12 0:00,-46.983,21.252566735112943
3/1/12 0:00,-28.461,22.443531827515404
4/1/12 0:00,-65.085,23.71663244353183
5/1/12 0:00,,24.948665297741286
6/1/12 0:00,-122.7422,26.22176591375771
7/1/12 0:00,-56.6832,27.453798767967143
8/1/12 0:00,-39.876,28.726899383983564
9/1/12 0:00,-69.6211,29.999999999999993
10/1/12 0:00,,31.23203285420945
11/1/12 0:00,-100.6959,32.50513347022587
12/1/12 0:00,-84.4322,33.73716632443533
1/1/13 0:00,55.2974,35.01026694045176
2/1/13 0:00,77.7578,36.28336755646818
3/1/13 0:00,,37.43326488706365
4/1/13 0:00,-52.959,38.70636550308007
5/1/13 0:00,-37.9863,39.93839835728953
6/1/13 0:00,-61.1113,41.21149897330596
7/1/13 0:00,-45.9487,42.443531827515415
8/1/13 0:00,,43.716632443531836
9/1/13 0:00,,44.989733059548264
